order_id,order_date,customer_id,product_id,quantity,discount,payment_method,shipping_cost,product_name,category,unit_cost,unit_price,unit_margin,target_margin_pct,customer_name,email,region,acquisition_channel,customer_segment,signup_date,is_returned,return_reason,gross_sales,discount_amount,net_sales,total_cost,gross_profit,profit_margin_pct,net_revenue,net_profit_final,order_year,order_month,order_year_month,order_quarter,day_of_week
ORD-10001,2025-04-26,CUST-1546,PROD-19,3,0.2,Credit Card,7.0,Casual Canvas Sneakers,Apparel,22.0,52.0,30.0,57.69,Patricia Wilson,patricia.wilson73@example.com,Midwest,Referral,Consumer,2024-04-18,1,Late Delivery,156.0,31.200000000000003,124.8,66.0,58.8,47.11538461538461,0.0,-7.0,2025,4,2025-04,2025Q2,Saturday
ORD-10002,2025-04-13,CUST-1184,PROD-19,1,0.0,PayPal,8.41,Casual Canvas Sneakers,Apparel,22.0,52.0,30.0,57.69,Jessica Anderson,jessica.anderson66@example.com,Midwest,Organic Search,Corporate,2025-05-30,0,No Return,52.0,0.0,52.0,22.0,30.0,57.692307692307686,52.0,30.0,2025,4,2025-04,2025Q2,Sunday
ORD-10003,2025-12-14,CUST-1210,PROD-34,1,0.05,Store Credit,19.5,Deep Cleansing Charcoal Scrub,Beauty & Care,7.0,19.99,12.989999999999998,64.98,Susan Smith,susan.smith10@example.com,East,Referral,Corporate,2025-08-10,0,No Return,19.99,0.9994999999999999,18.990499999999997,7.0,11.990499999999997,63.139464469076636,18.990499999999997,11.990499999999997,2025,12,2025-12,2025Q4,Sunday
ORD-10004,2025-07-08,CUST-1431,PROD-29,1,0.05,PayPal,5.0,Automatic Drip Coffee Maker,Home & Kitchen,25.0,59.99,34.99,58.33,James Davis,james.davis36@example.com,South,Referral,Corporate,2024-06-21,0,No Return,59.99,2.9995000000000003,56.990500000000004,25.0,31.990500000000004,56.13303971714584,56.990500000000004,31.990500000000004,2025,7,2025-07,2025Q3,Tuesday
ORD-10005,2024-08-25,CUST-1344,PROD-27,3,0.1,Credit Card,14.64,Electric Kettle Temperature Control,Apparel,22.0,49.99,27.990000000000002,55.99,Barbara Gonzalez,barbara.gonzalez49@example.com,West,Organic Search,Small Business,2025-11-08,0,No Return,149.97,14.997,134.973,66.0,68.97300000000001,51.10133137738659,134.973,68.97300000000001,2024,8,2024-08,2024Q3,Sunday
ORD-10006,2025-06-26,CUST-1312,PROD-37,3,0.0,Debit Card,7.62,Professional Hair Dryer 1875W,Beauty & Care,25.0,59.99,34.99,58.33,Christopher Rodriguez,christopher.rodriguez25@example.com,South,Social Media,Small Business,2024-11-01,0,No Return,179.97,0.0,179.97,75.0,104.97,58.32638773128854,179.97,104.97,2025,6,2025-06,2025Q2,Thursday
ORD-10007,2025-01-15,CUST-1049,PROD-10,4,0.0,Credit Card,18.78,HD Webcam 1080p,Sports & Outdoors,30.0,69.99,39.989999999999995,57.14,Karen Taylor,missing_email@apexretail.com,Midwest,Social Media,Small Business,2024-04-16,0,No Return,279.96,0.0,279.96,120.0,159.95999999999998,57.13673381911701,279.96,159.95999999999998,2025,1,2025-01,2025Q1,Wednesday
ORD-10008,2025-12-29,CUST-1180,PROD-46,2,0.0,PayPal,5.86,Trekking Poles Aluminum Pair,Apparel,16.0,39.99,23.990000000000002,59.99,Anthony Davis,anthony.davis19@example.com,Midwest,Organic Search,Corporate,2024-05-28,0,No Return,79.98,0.0,79.98,32.0,47.980000000000004,59.989997499374844,79.98,47.980000000000004,2025,12,2025-12,2025Q4,Monday
ORD-10009,2024-11-20,CUST-1379,PROD-12,1,0.2,Debit Card,19.64,Women's High-Waist Yoga Pants,Apparel,18.0,48.0,30.0,62.5,Margaret Johnson,margaret.johnson49@example.com,West,Referral,Corporate,2024-02-27,1,Late Delivery,48.0,9.600000000000001,38.4,18.0,20.4,53.125,0.0,-19.64,2024,11,2024-11,2024Q4,Wednesday
ORD-10010,2024-05-31,CUST-1167,PROD-35,1,0.1,Store Credit,16.29,Gentle Daily Face Moisturizer,Beauty & Care,10.0,28.0,18.0,64.29,Lisa Hernandez,lisa.hernandez60@example.com,North,Paid Ads,Consumer,2025-11-23,0,No Return,28.0,2.8000000000000003,25.2,10.0,15.2,60.317460317460316,25.2,15.2,2024,5,2024-05,2024Q2,Friday
