customer_id,customer_name,region,customer_segment,frequency,monetary,last_order_date,recency_days,rfm_segment
CUST-1001,Christopher Brown,East,Consumer,5,1101.48,2025-12-11,20,Loyal Customers
CUST-1002,Lisa Brown,North,Corporate,4,651.222,2025-06-07,207,At-Risk
CUST-1003,James Williams,Midwest,Small Business,7,898.236,2025-02-20,314,At-Risk
CUST-1004,Daniel Moore,Midwest,Consumer,7,1605.2215,2025-12-25,6,Champions
CUST-1005,Daniel Wilson,South,Consumer,6,1380.523,2025-10-28,64,Loyal Customers
CUST-1006,Richard Brown,Midwest,Consumer,4,1202.905,2025-08-12,141,At-Risk
CUST-1007,Sarah Brown,North,Corporate,6,2375.848,2025-04-27,248,At-Risk
CUST-1008,Karen Lopez,North,Small Business,3,396.0,2025-09-23,99,Loyal Customers
CUST-1009,Matthew Martinez,North,Corporate,4,933.462,2025-10-01,91,Loyal Customers
CUST-1010,Christopher Lopez,South,Corporate,4,234.76600000000002,2025-04-19,256,At-Risk
CUST-1011,Christopher Williams,Midwest,Consumer,9,2535.1435,2025-05-11,234,At-Risk
CUST-1012,Joseph Gonzalez,Midwest,Small Business,3,261.966,2025-11-23,38,Loyal Customers
CUST-1013,Anthony Johnson,East,Corporate,4,1213.0415,2025-07-08,176,At-Risk
CUST-1014,Michael Jackson,South,Corporate,9,1115.9475,2025-09-25,97,Loyal Customers
CUST-1015,Donald Anderson,South,Small Business,5,410.14,2025-08-23,130,At-Risk
CUST-1016,William Jackson,West,Consumer,5,766.875,2025-08-16,137,At-Risk
CUST-1017,Thomas Thomas,North,Small Business,3,739.1715000000002,2025-07-08,176,At-Risk
CUST-1018,Betty Wilson,West,Corporate,7,1337.244,2025-11-20,41,Loyal Customers
CUST-1019,William Moore,Unknown,Consumer,5,1464.4885,2025-05-04,241,At-Risk
CUST-1020,Donald Moore,Unknown,Consumer,3,52.699999999999996,2025-07-29,155,At-Risk
CUST-1021,Susan Garcia,East,Consumer,3,524.4425,2025-07-08,176,At-Risk
CUST-1022,Sandra Brown,Unknown,Small Business,2,213.966,2024-12-19,377,Lost Customers
CUST-1023,Robert Lopez,Midwest,Small Business,3,538.8575,2025-04-28,247,At-Risk
CUST-1024,Jessica Smith,East,Consumer,10,1917.5590000000002,2025-11-26,35,Champions
CUST-1025,Donald Jackson,West,Small Business,6,974.877,2025-11-26,35,Loyal Customers
CUST-1026,Robert Thomas,East,Small Business,2,1355.981,2025-02-14,320,Lost Customers
CUST-1027,Michael Moore,South,Corporate,2,404.938,2025-12-13,18,Potential Loyalists
CUST-1028,Nancy Lopez,West,Consumer,4,2257.858,2025-03-11,295,At-Risk
CUST-1029,John Hernandez,Midwest,Small Business,2,275.2,2025-11-04,57,Potential Loyalists
CUST-1030,James Williams,South,Consumer,3,133.2,2025-09-10,112,Loyal Customers
CUST-1031,John Taylor,West,Small Business,3,197.99099999999999,2025-06-07,207,At-Risk
CUST-1032,Lisa Jackson,West,Consumer,7,640.062,2025-10-13,79,Loyal Customers
CUST-1033,Patricia Wilson,West,Consumer,5,552.7225,2025-06-08,206,At-Risk
CUST-1034,Christopher Brown,East,Consumer,5,1712.1390000000001,2025-01-23,342,At-Risk
CUST-1035,Michael Moore,South,Corporate,4,2239.905,2025-09-14,108,Loyal Customers
CUST-1036,Margaret Williams,North,Small Business,7,1820.5585,2025-04-02,273,At-Risk
CUST-1037,Anthony Smith,South,Corporate,3,88.0,2025-09-19,103,Loyal Customers
CUST-1038,Jessica Miller,South,Consumer,4,845.9185,2025-10-19,73,Loyal Customers
CUST-1039,William Anderson,Midwest,Small Business,3,621.973,2025-06-01,213,At-Risk
CUST-1040,Robert Miller,Midwest,Small Business,3,588.643,2025-06-06,208,At-Risk
CUST-1041,Lisa Hernandez,West,Small Business,2,43.98,2025-05-16,229,Lost Customers
CUST-1042,Mary Taylor,North,Consumer,5,404.89599999999996,2025-11-11,50,Loyal Customers
CUST-1043,Margaret Davis,South,Small Business,6,868.059,2025-06-02,212,At-Risk
CUST-1044,Karen Williams,Midwest,Corporate,5,1249.753,2025-07-06,178,At-Risk
CUST-1045,Michael Hernandez,South,Small Business,5,948.1345,2025-12-29,2,Loyal Customers
CUST-1046,Joseph Hernandez,North,Small Business,4,962.6925,2025-10-16,76,Loyal Customers
CUST-1047,Patricia Williams,East,Corporate,5,1196.507,2025-04-26,249,At-Risk
CUST-1048,Donald Davis,West,Small Business,6,2388.834,2025-01-03,362,At-Risk
CUST-1049,Karen Taylor,Midwest,Small Business,5,2406.9115,2025-05-30,215,At-Risk
CUST-1050,Donald Jones,Midwest,Corporate,5,1144.9095,2025-08-17,136,At-Risk
CUST-1051,Karen Miller,Unknown,Corporate,3,849.95,2025-07-12,172,At-Risk
CUST-1052,Jessica Rodriguez,North,Corporate,2,689.97,2025-03-03,303,Lost Customers
CUST-1053,Mary Smith,Unknown,Consumer,5,517.566,2025-06-14,200,At-Risk
CUST-1054,Sarah Wilson,North,Consumer,6,726.831,2025-11-29,32,Loyal Customers
CUST-1055,Mary Lopez,West,Consumer,3,1426.3905,2024-08-17,501,At-Risk
CUST-1056,Barbara Johnson,Unknown,Small Business,4,714.334,2024-12-05,391,At-Risk
CUST-1057,Barbara Moore,Midwest,Consumer,6,1796.1725,2025-07-08,176,At-Risk
CUST-1058,Margaret Garcia,West,Consumer,5,572.062,2025-08-31,122,At-Risk
CUST-1059,Betty Wilson,South,Consumer,4,1796.897,2025-12-17,14,Loyal Customers
CUST-1060,Richard Johnson,South,Corporate,4,863.889,2024-10-24,433,At-Risk
CUST-1061,Anthony Davis,South,Corporate,3,477.94399999999996,2024-11-26,400,At-Risk
CUST-1062,Margaret Williams,East,Small Business,4,1110.5085,2024-07-06,543,At-Risk
CUST-1063,Nancy Moore,North,Consumer,7,1706.858,2025-07-05,179,At-Risk
CUST-1064,William Johnson,East,Corporate,3,466.24,2025-10-31,61,Loyal Customers
CUST-1065,Karen Taylor,South,Consumer,7,772.443,2025-10-18,74,Loyal Customers
CUST-1067,Michael Lopez,East,Corporate,2,620.9730000000001,2025-03-22,284,Lost Customers
CUST-1068,Margaret Brown,Midwest,Small Business,3,670.95,2025-06-05,209,At-Risk
CUST-1069,David Gonzalez,South,Corporate,3,359.956,2025-07-13,171,At-Risk
CUST-1070,Richard Garcia,West,Consumer,4,830.623,2025-12-03,28,Loyal Customers
CUST-1071,Elizabeth Miller,Midwest,Corporate,5,345.6515,2025-09-22,100,Loyal Customers
CUST-1072,Joseph Anderson,West,Consumer,5,596.4325,2025-05-08,237,At-Risk
CUST-1073,John Martinez,Midwest,Consumer,4,937.9100000000001,2025-04-04,271,At-Risk
CUST-1074,Nancy Martinez,South,Consumer,4,762.4970000000001,2025-12-14,17,Loyal Customers
CUST-1075,Jessica Martin,West,Small Business,3,1366.9454999999998,2025-12-29,2,Loyal Customers
CUST-1076,Michael Gonzalez,South,Small Business,5,955.907,2025-11-15,46,Loyal Customers
CUST-1077,Donald Brown,South,Small Business,8,2391.5665,2025-12-24,7,Champions
CUST-1078,Mary Moore,West,Corporate,3,364.366,2025-10-24,68,Loyal Customers
CUST-1079,Thomas Moore,West,Small Business,7,1741.2795,2025-05-11,234,At-Risk
CUST-1080,Susan Moore,West,Corporate,6,190.155,2025-11-20,41,Loyal Customers
CUST-1081,Anthony Rodriguez,West,Consumer,4,1739.3999999999999,2024-09-01,486,At-Risk
CUST-1082,Joseph Williams,East,Corporate,9,820.23,2025-11-18,43,Loyal Customers
CUST-1083,John Jones,South,Consumer,7,2991.3575,2025-10-18,74,Loyal Customers
CUST-1084,Susan Wilson,West,Consumer,4,1490.4685,2025-12-21,10,Loyal Customers
CUST-1085,Richard Jackson,Midwest,Corporate,6,2254.296,2025-12-22,9,Champions
CUST-1086,Barbara Martinez,Midwest,Small Business,3,2991.26,2024-10-13,444,At-Risk
CUST-1087,Betty Martin,South,Corporate,8,4066.042,2025-12-23,8,Champions
CUST-1088,James Gonzalez,West,Consumer,5,1093.7615,2025-08-27,126,At-Risk
CUST-1089,Sandra Jones,North,Small Business,4,1056.4155,2025-05-07,238,At-Risk
CUST-1090,Nancy Smith,South,Consumer,5,2088.88,2025-12-11,20,Champions
CUST-1091,William Gonzalez,East,Corporate,5,1526.465,2025-12-14,17,Champions
CUST-1092,Matthew Wilson,West,Small Business,2,2879.95,2025-10-16,76,Potential Loyalists
CUST-1093,Mary Lopez,Unknown,Consumer,10,2115.983,2025-08-28,125,At-Risk
CUST-1094,Michael Smith,South,Small Business,3,665.1814999999999,2025-04-06,269,At-Risk
CUST-1095,Charles Miller,East,Small Business,6,612.8004999999999,2024-12-03,393,At-Risk
CUST-1096,Lisa Brown,East,Small Business,3,3969.932,2024-12-30,366,At-Risk
CUST-1097,Sandra Martinez,West,Consumer,10,901.0545,2025-11-15,46,Loyal Customers
CUST-1098,Charles Davis,East,Small Business,4,1804.825,2024-12-30,366,At-Risk
CUST-1099,Betty Jackson,Midwest,Small Business,10,3196.051,2025-11-28,33,Champions
CUST-1100,John Taylor,West,Consumer,5,1188.422,2025-05-22,223,At-Risk
CUST-1101,Barbara Anderson,South,Small Business,3,551.94,2025-06-23,191,At-Risk
CUST-1102,William Martin,West,Corporate,4,826.9905,2025-09-19,103,Loyal Customers
CUST-1103,William Hernandez,East,Consumer,2,1807.75,2025-06-18,196,Lost Customers
CUST-1104,Charles Martin,North,Corporate,2,749.941,2024-08-17,501,Lost Customers
CUST-1105,Jessica Miller,East,Small Business,4,206.5205,2025-01-26,339,At-Risk
CUST-1106,Sarah Smith,North,Small Business,9,1183.064,2025-12-24,7,Loyal Customers
CUST-1107,Jessica Moore,West,Small Business,4,1275.4315000000001,2025-06-20,194,At-Risk
CUST-1108,Joseph Smith,West,Consumer,5,1722.401,2025-09-02,120,Loyal Customers
CUST-1109,Nancy Jackson,Midwest,Corporate,7,798.4005,2025-12-18,13,Loyal Customers
CUST-1110,David Lopez,East,Consumer,4,404.99,2025-10-18,74,Loyal Customers
CUST-1111,Lisa Miller,Midwest,Consumer,2,293.94399999999996,2025-11-30,31,Potential Loyalists
CUST-1112,Michael Thomas,Midwest,Corporate,6,2447.8345,2025-11-07,54,Champions
CUST-1113,Anthony Miller,South,Consumer,2,167.5,2025-03-22,284,Lost Customers
CUST-1114,Robert Rodriguez,Midwest,Small Business,3,458.94899999999996,2025-10-05,87,Loyal Customers
CUST-1115,Christopher Thomas,Midwest,Corporate,4,309.56,2025-12-13,18,Loyal Customers
CUST-1116,Joseph Hernandez,East,Consumer,4,386.9535,2025-12-27,4,Loyal Customers
CUST-1117,Richard Thomas,Unknown,Consumer,3,169.97,2025-12-30,1,Loyal Customers
CUST-1118,Betty Jackson,South,Small Business,5,1628.266,2025-12-04,27,Champions
CUST-1119,Karen Martin,Midwest,Corporate,3,93.99000000000001,2025-10-02,90,Loyal Customers
CUST-1120,Elizabeth Jackson,Midwest,Consumer,9,4313.024,2025-12-01,30,Champions
CUST-1121,Lisa Brown,Unknown,Corporate,2,483.943,2025-10-16,76,Potential Loyalists
CUST-1122,John Garcia,North,Consumer,5,871.527,2025-06-08,206,At-Risk
CUST-1123,Joseph Martin,South,Small Business,7,2638.244,2025-09-08,114,Loyal Customers
CUST-1124,Daniel Anderson,East,Small Business,6,3981.49,2025-10-15,77,Loyal Customers
CUST-1125,Betty Miller,South,Consumer,2,683.97,2025-08-11,142,Lost Customers
CUST-1126,Anthony Jones,East,Small Business,4,1626.1564999999998,2025-06-16,198,At-Risk
CUST-1127,Sandra Martinez,East,Corporate,2,1316.4405000000002,2025-09-03,119,Lost Customers
CUST-1128,Thomas Moore,Midwest,Corporate,3,1212.6575,2025-10-30,62,Loyal Customers
CUST-1129,Karen Rodriguez,South,Small Business,6,1664.844,2025-05-31,214,At-Risk
CUST-1130,James Rodriguez,South,Small Business,13,3740.6175000000003,2025-12-26,5,Champions
CUST-1131,Joseph Rodriguez,West,Corporate,7,1653.835,2025-07-21,163,At-Risk
CUST-1132,Jessica Lopez,Unknown,Consumer,6,1199.338,2025-11-07,54,Loyal Customers
CUST-1133,Susan Thomas,Midwest,Corporate,9,1492.315,2025-12-08,23,Loyal Customers
CUST-1134,David Rodriguez,West,Consumer,4,799.9269999999999,2025-04-21,254,At-Risk
CUST-1135,Margaret Moore,South,Corporate,6,1544.887,2025-01-15,350,At-Risk
CUST-1136,Matthew Thomas,North,Corporate,6,2603.6855000000005,2025-11-01,60,Champions
CUST-1137,Robert Martinez,West,Consumer,3,239.983,2025-08-20,133,At-Risk
CUST-1138,Karen Davis,Midwest,Small Business,6,1878.16,2025-08-28,125,At-Risk
CUST-1139,John Davis,West,Small Business,4,419.9415,2025-01-12,353,At-Risk
CUST-1140,Jessica Martinez,West,Corporate,8,2414.7345,2025-07-29,155,At-Risk
CUST-1141,Joseph Moore,Midwest,Small Business,9,1997.8185,2025-12-30,1,Champions
CUST-1142,Margaret Williams,East,Corporate,1,28.4905,2025-10-27,65,Potential Loyalists
CUST-1143,Elizabeth Martinez,Unknown,Consumer,6,1226.9075,2025-05-06,239,At-Risk
CUST-1144,Sarah Thomas,Midwest,Corporate,6,1469.1865,2025-12-14,17,Loyal Customers
CUST-1145,Margaret Miller,Midwest,Consumer,7,926.147,2025-12-06,25,Loyal Customers
CUST-1146,Mary Hernandez,West,Small Business,4,1188.4450000000002,2025-02-24,310,At-Risk
CUST-1147,Robert Thomas,Midwest,Corporate,4,778.316,2025-11-29,32,Loyal Customers
CUST-1148,Margaret Anderson,North,Consumer,5,826.115,2025-08-14,139,At-Risk
CUST-1149,Margaret Jones,East,Small Business,8,2176.723,2025-12-28,3,Champions
CUST-1150,Christopher Williams,Midwest,Corporate,4,821.1800000000001,2025-03-26,280,At-Risk
CUST-1151,Daniel Thomas,Midwest,Consumer,4,1628.9335,2025-11-02,59,Loyal Customers
CUST-1152,Nancy Martinez,North,Consumer,4,582.14,2025-02-24,310,At-Risk
CUST-1153,Daniel Brown,East,Consumer,3,449.0915,2025-03-23,283,At-Risk
CUST-1154,Betty Johnson,West,Consumer,2,324.755,2025-04-30,245,Lost Customers
CUST-1155,Susan Jackson,South,Consumer,3,575.3535,2025-05-22,223,At-Risk
CUST-1156,Margaret Gonzalez,West,Consumer,1,64.99,2025-05-24,221,Lost Customers
CUST-1157,Joseph Rodriguez,North,Corporate,5,715.427,2025-07-02,182,At-Risk
CUST-1158,Sarah Garcia,Midwest,Small Business,6,1055.3785,2025-12-19,12,Loyal Customers
CUST-1159,Daniel Rodriguez,South,Corporate,4,2138.925,2025-11-15,46,Loyal Customers
CUST-1160,Linda Gonzalez,East,Corporate,9,1515.9245,2025-10-06,86,Loyal Customers
CUST-1161,Anthony Gonzalez,Unknown,Consumer,5,757.726,2025-05-13,232,At-Risk
CUST-1162,Lisa Thomas,South,Corporate,4,2381.914,2025-02-16,318,At-Risk
CUST-1163,Christopher Miller,Unknown,Consumer,4,587.145,2025-01-31,334,At-Risk
CUST-1164,Patricia Johnson,North,Corporate,2,482.36199999999997,2025-12-10,21,Potential Loyalists
CUST-1165,John Martinez,South,Consumer,7,665.417,2025-11-20,41,Loyal Customers
CUST-1166,Donald Lopez,South,Corporate,4,469.58299999999997,2025-06-01,213,At-Risk
CUST-1167,Lisa Hernandez,North,Consumer,4,2257.17,2025-05-05,240,At-Risk
CUST-1168,Lisa Gonzalez,East,Corporate,5,648.52,2025-07-29,155,At-Risk
CUST-1169,William Moore,Unknown,Small Business,5,518.744,2025-10-04,88,Loyal Customers
CUST-1170,Charles Gonzalez,North,Consumer,8,734.105,2025-07-20,164,At-Risk
CUST-1171,James Martin,East,Consumer,9,2251.157,2025-10-25,67,Loyal Customers
CUST-1172,John Anderson,Unknown,Consumer,4,774.138,2025-06-23,191,At-Risk
CUST-1173,Mary Johnson,North,Consumer,5,1569.5194999999999,2025-08-03,150,At-Risk
CUST-1174,Robert Gonzalez,Midwest,Small Business,4,958.0730000000001,2025-12-29,2,Loyal Customers
CUST-1175,Donald Wilson,Midwest,Corporate,3,917.4175,2025-07-03,181,At-Risk
CUST-1176,Daniel Lopez,South,Consumer,3,884.44,2025-06-27,187,At-Risk
CUST-1177,Sarah Lopez,South,Corporate,6,1635.3965,2025-08-22,131,At-Risk
CUST-1178,Nancy Miller,North,Corporate,2,107.982,2025-08-04,149,Lost Customers
CUST-1179,Robert Jackson,Midwest,Small Business,2,272.981,2025-02-28,306,Lost Customers
CUST-1180,Anthony Davis,Midwest,Corporate,3,1192.4145,2025-12-29,2,Loyal Customers
CUST-1181,Robert Moore,North,Consumer,7,883.7909999999999,2025-12-27,4,Loyal Customers
CUST-1182,James Lopez,Midwest,Consumer,7,958.014,2025-12-06,25,Loyal Customers
CUST-1183,William Johnson,Midwest,Small Business,4,539.918,2025-07-27,157,At-Risk
CUST-1184,Jessica Anderson,Midwest,Corporate,2,74.0,2025-04-13,262,Lost Customers
CUST-1185,Linda Martin,Midwest,Corporate,4,558.975,2025-11-29,32,Loyal Customers
CUST-1186,James Johnson,West,Consumer,5,734.8135,2025-11-18,43,Loyal Customers
CUST-1187,Daniel Anderson,East,Consumer,5,1444.8525,2025-05-15,230,At-Risk
CUST-1188,Robert Rodriguez,Midwest,Corporate,3,1312.95,2025-08-11,142,At-Risk
CUST-1189,Karen Taylor,Midwest,Consumer,4,1328.962,2024-05-04,606,At-Risk
CUST-1190,Margaret Moore,West,Consumer,7,3500.3625,2025-09-02,120,Loyal Customers
CUST-1191,David Anderson,North,Corporate,6,1249.399,2025-08-04,149,At-Risk
CUST-1192,Nancy Rodriguez,Unknown,Consumer,4,740.501,2025-03-29,277,At-Risk
CUST-1193,Anthony Williams,East,Small Business,5,3273.922,2025-10-07,85,Loyal Customers
CUST-1194,Charles Moore,North,Corporate,7,1449.5815,2024-12-27,369,At-Risk
CUST-1195,Matthew Wilson,North,Small Business,2,229.93,2025-12-24,7,Potential Loyalists
CUST-1196,Barbara Brown,South,Corporate,4,2183.88,2025-08-30,123,At-Risk
CUST-1197,Margaret Brown,East,Corporate,5,1105.9355,2025-11-23,38,Loyal Customers
CUST-1198,Linda Wilson,Midwest,Small Business,7,372.8905,2025-03-01,305,At-Risk
CUST-1199,Sarah Smith,East,Consumer,2,79.96000000000001,2024-08-26,492,Lost Customers
CUST-1200,Daniel Martinez,North,Consumer,7,2621.829,2025-06-21,193,At-Risk
CUST-1201,Nancy Gonzalez,Unknown,Consumer,8,2804.8450000000003,2025-07-26,158,At-Risk
CUST-1202,Michael Gonzalez,South,Corporate,2,543.95,2025-07-25,159,Lost Customers
CUST-1203,Matthew Jackson,South,Small Business,4,1168.7325,2025-12-26,5,Loyal Customers
CUST-1204,Nancy Williams,West,Small Business,8,2337.525,2025-06-05,209,At-Risk
CUST-1205,Susan Rodriguez,North,Corporate,3,385.2335,2025-08-09,144,At-Risk
CUST-1206,Elizabeth Jackson,East,Consumer,2,1235.4215,2025-10-19,73,Potential Loyalists
CUST-1207,Karen Johnson,East,Consumer,4,1042.9185,2025-07-18,166,At-Risk
CUST-1208,Elizabeth Hernandez,West,Consumer,5,854.894,2025-07-02,182,At-Risk
CUST-1209,Sarah Davis,East,Corporate,2,349.95,2024-08-14,504,Lost Customers
CUST-1210,Susan Smith,East,Corporate,4,201.8405,2025-12-14,17,Loyal Customers
CUST-1211,Richard Wilson,North,Consumer,6,673.7524999999999,2025-11-12,49,Loyal Customers
CUST-1212,Joseph Lopez,South,Small Business,3,227.18,2025-08-13,140,At-Risk
CUST-1213,Thomas Williams,East,Corporate,10,1283.7305,2025-11-30,31,Loyal Customers
CUST-1214,John Taylor,Midwest,Corporate,2,172.466,2025-10-29,63,Potential Loyalists
CUST-1215,Lisa Jones,East,Consumer,7,998.2719999999999,2025-12-21,10,Loyal Customers
CUST-1216,Robert Williams,Unknown,Corporate,4,512.98,2025-07-23,161,At-Risk
CUST-1217,Matthew Jackson,Unknown,Small Business,4,1784.9295000000002,2025-03-06,300,At-Risk
CUST-1218,Margaret Hernandez,West,Small Business,6,2111.868,2025-07-29,155,At-Risk
CUST-1219,Betty Rodriguez,Midwest,Corporate,3,1001.1225,2025-12-14,17,Loyal Customers
CUST-1220,Joseph Johnson,North,Consumer,7,3646.4615,2025-07-13,171,At-Risk
CUST-1221,Karen Taylor,Midwest,Consumer,8,4917.804,2025-09-26,96,Loyal Customers
CUST-1222,Sandra Jackson,Midwest,Small Business,8,2050.313,2025-10-20,72,Loyal Customers
CUST-1223,Mary Anderson,North,Small Business,4,408.34,2025-11-01,60,Loyal Customers
CUST-1224,Mary Davis,Midwest,Small Business,3,947.9655,2025-09-17,105,Loyal Customers
CUST-1225,Barbara Lopez,West,Small Business,3,310.77,2025-10-26,66,Loyal Customers
CUST-1226,Mary Hernandez,Midwest,Corporate,8,1943.864,2025-11-12,49,Champions
CUST-1227,William Martin,North,Small Business,7,1465.0105,2025-07-19,165,At-Risk
CUST-1228,Sandra Lopez,Unknown,Consumer,11,936.7735,2025-11-18,43,Loyal Customers
CUST-1229,Daniel Williams,Unknown,Consumer,4,361.954,2025-12-17,14,Loyal Customers
CUST-1230,Daniel Taylor,West,Corporate,7,2546.4945000000002,2025-12-13,18,Champions
CUST-1231,Barbara Martinez,East,Consumer,5,3663.9145,2025-12-29,2,Champions
CUST-1232,Robert Jones,Midwest,Small Business,6,534.28,2025-06-01,213,At-Risk
CUST-1233,Mary Hernandez,South,Corporate,2,873.6675,2025-10-17,75,Potential Loyalists
CUST-1234,Jennifer Garcia,Midwest,Small Business,4,512.49,2025-11-13,48,Loyal Customers
CUST-1235,Mary Wilson,South,Small Business,6,898.9240000000001,2025-02-25,309,At-Risk
CUST-1236,Matthew Anderson,East,Consumer,4,523.366,2025-08-30,123,At-Risk
CUST-1237,Nancy Jackson,East,Small Business,1,1062.4575,2024-03-24,647,Lost Customers
CUST-1238,Susan Garcia,South,Consumer,4,1133.028,2025-08-13,140,At-Risk
CUST-1239,Jessica Lopez,Midwest,Corporate,8,974.556,2025-06-24,190,At-Risk
CUST-1240,Matthew Garcia,South,Consumer,7,2563.3305,2025-11-08,53,Champions
CUST-1241,Anthony Anderson,West,Corporate,5,674.7620000000001,2025-04-11,264,At-Risk
CUST-1242,Barbara Davis,East,Consumer,3,1687.043,2025-06-20,194,At-Risk
CUST-1243,Sandra Brown,East,Consumer,5,1278.3935,2025-06-03,211,At-Risk
CUST-1244,Elizabeth Thomas,West,Small Business,9,2080.446,2025-12-02,29,Champions
CUST-1246,Thomas Wilson,South,Consumer,3,665.505,2025-06-24,190,At-Risk
CUST-1247,Linda Wilson,West,Consumer,2,213.7405,2024-10-09,448,Lost Customers
CUST-1248,Karen Moore,Midwest,Consumer,9,1894.9755,2025-08-07,146,At-Risk
CUST-1249,Elizabeth Wilson,East,Small Business,6,1455.8690000000001,2025-09-19,103,Loyal Customers
CUST-1250,Jennifer Williams,North,Small Business,5,931.9615,2025-07-12,172,At-Risk
CUST-1251,Betty Taylor,West,Small Business,7,2341.343,2025-12-16,15,Champions
CUST-1252,Barbara Rodriguez,North,Consumer,8,2342.504,2025-12-10,21,Champions
CUST-1253,Christopher Brown,East,Consumer,3,369.166,2025-11-30,31,Loyal Customers
CUST-1254,Sarah Hernandez,Unknown,Small Business,5,3186.824,2025-09-27,95,Loyal Customers
CUST-1255,Christopher Garcia,West,Corporate,9,960.0755,2025-12-11,20,Loyal Customers
CUST-1256,Mary Miller,East,Corporate,4,1909.914,2025-08-22,131,At-Risk
CUST-1257,Jessica Rodriguez,South,Corporate,4,3283.1005,2025-09-27,95,Loyal Customers
CUST-1258,Margaret Hernandez,West,Small Business,1,43.2,2024-02-16,684,Lost Customers
CUST-1259,Donald Gonzalez,West,Corporate,5,1322.286,2025-10-14,78,Loyal Customers
CUST-1260,Sandra Taylor,West,Corporate,2,52.0,2025-03-17,289,Lost Customers
CUST-1261,Anthony Garcia,North,Corporate,3,356.945,2025-06-23,191,At-Risk
CUST-1262,Elizabeth Martinez,West,Small Business,6,797.283,2025-07-25,159,At-Risk
