customer_id,customer_name,email,region,acquisition_channel,customer_segment,signup_date
CUST-1001,Christopher Brown,,East,Paid Ads,Consumer,2024-05-22
CUST-1002,Lisa Brown,lisa.brown70@example.com,  NORTH ,Referral,Corporate,2024-02-02
CUST-1003,James Williams,james.williams65@example.com,MIDWEST,Organic Search,Small Business,2024-07-22
CUST-1004,Daniel Moore,daniel.moore58@example.com,MIDWEST,Social Media,Consumer,2024-06-12
CUST-1005,Daniel Wilson,daniel.wilson20@example.com,south,Social Media,Consumer,2024-04-04
CUST-1006,Richard Brown,richard.brown45@example.com,MIDWEST,Social Media,Consumer,2025-04-15
CUST-1007,Sarah Brown,sarah.brown49@example.com,  NORTH ,Referral,Corporate,2025-10-05
CUST-1008,Karen Lopez,karen.lopez91@example.com,  NORTH ,Organic Search,Small Business,2024-08-21
CUST-1009,Matthew Martinez,matthew.martinez30@example.com,  NORTH ,Email Campaign,Corporate,2025-04-09
CUST-1010,Christopher Lopez,christopher.lopez46@example.com,south,,Corporate,2025-11-30
CUST-1011,Christopher Williams,christopher.williams22@example.com,Midwest,,Consumer,2024-06-16
CUST-1012,Joseph Gonzalez,joseph.gonzalez82@example.com,Midwest,Paid Ads,Small Business,2024-11-28
CUST-1013,Anthony Johnson,anthony.johnson5@example.com, EAST,Email Campaign,Corporate,2024-03-08
CUST-1014,Michael Jackson,michael.jackson41@example.com,south,,Corporate,2025-02-09
CUST-1015,Donald Anderson,donald.anderson18@example.com,south,,Small Business,2025-07-05
CUST-1016,William Jackson,william.jackson75@example.com,West,Social Media,Consumer,2024-05-21
CUST-1017,Thomas Thomas,thomas.thomas7@example.com,  NORTH ,Paid Ads,Small Business,2024-06-12
CUST-1018,Betty Wilson,betty.wilson50@example.com,West,Referral,Corporate,2025-06-25
CUST-1019,William Moore,william.moore2@example.com,,,Consumer,2025-11-29
CUST-1020,Donald Moore,donald.moore99@example.com,,Social Media,Consumer,2024-10-27
CUST-1021,Susan Garcia,susan.garcia93@example.com,East,Referral,Consumer,2025-06-03
CUST-1022,Sandra Brown,sandra.brown39@example.com,,Referral,Small Business,2024-07-22
CUST-1023,Robert Lopez,robert.lopez70@example.com,Midwest,Organic Search,Small Business,2024-11-27
CUST-1024,Jessica Smith,jessica.smith47@example.com,East,Paid Ads,Consumer,2024-09-03
CUST-1025,Donald Jackson,donald.jackson11@example.com,west,Organic Search,Small Business,2024-05-08
CUST-1026,Robert Thomas,robert.thomas22@example.com,East,Referral,Small Business,2025-03-09
CUST-1027,Michael Moore,michael.moore89@example.com,south,,Corporate,2025-02-12
CUST-1028,Nancy Lopez,nancy.lopez67@example.com,west,Organic Search,Consumer,2024-08-18
CUST-1029,John Hernandez,,Midwest,Paid Ads,Small Business,2024-08-13
CUST-1030,James Williams,james.williams8@example.com,south,Organic Search,Consumer,2024-12-04
CUST-1031,John Taylor,john.taylor86@example.com,west,Paid Ads,Small Business,2024-05-15
CUST-1032,Lisa Jackson,lisa.jackson32@example.com,west,Email Campaign,Consumer,2024-04-06
CUST-1033,Patricia Wilson,patricia.wilson53@example.com,west,,Consumer,2025-11-20
